Code,Name,Latitude,Longitude,station_id,station_name,station_latitude,station_longitude
SO_0326,미조항,34.706389,128.048611,22498,남해,34.6965,127.992
SO_0536,덕적도,37.227778,126.157778,22461,이작도,37.165,126.206
SO_0537,벽파진,34.539444,126.346111,539800,진도,34.3777,126.309
SO_0538,안마도,35.345556,126.016111,22475,영광,35.4357,126.176
SO_0539,강화외포,37.700833,126.3725,417820,강화대교,37.7319,126.522
SO_0540,호산항,37.176111,129.342778,22523,죽변,37.1028,129.459
SO_0543,서거차도,34.253611,125.917778,22481,맹골수도,34.2267,125.954
SO_0547,말도,35.855278,126.318333,33003,말도,35.8539,126.318
SO_0548,우이도,34.620556,125.856667,22493,자은,34.9192,125.868
SO_0550,나로도,34.463056,127.453889,22502,나로도,34.4322,127.589
SO_0551,여서도,33.988056,126.923333,22103,거문도,34.0014,127.501
SO_0552,고현항,34.901944,128.622222,545711,광양,34.9034,127.755
SO_0553,해운대,35.160278,129.1915,984,오륙도,35.091,129.127
SO_0554,영종왕산,37.458056,126.358889,22496,장봉도,37.4905,126.354
SO_0555,서망항,34.366667,126.134167,530350,목포,34.7781,126.393
SO_0562,승봉도,37.169722,126.290556,22472,자월도,37.3043,126.158
SO_0563,울도,37.035556,125.995,573819,어청도,36.1169,125.985
SO_0564,국화도,37.060556,126.560556,22472,자월도,37.3043,126.158
SO_0565,향화도항,35.167778,126.359444,22492,비안도,35.74,126.352
SO_0566,송공항,34.848333,126.225278,530350,목포,34.7781,126.393
SO_0567,쉬미항,34.504722,126.183611,539800,진도,34.3777,126.309
SO_0568,백야도,34.624444,127.632222,550070,여수,34.7442,127.768
SO_0569,남포항,34.957778,128.321667,545711,광양,34.9034,127.755
SO_0570,광암항,35.1025,128.498889,545711,광양,34.9034,127.755
SO_0571,거제외포,34.939444,128.718056,626800,거제도,34.7989,128.702
SO_0572,읍천항,35.690833,129.475556,22483,간절곶,35.3665,129.375
SO_0573,양포항,35.881389,129.5275,22189,울산,35.3453,129.841
SO_0574,백사장항,36.586389,126.315,22488,안면도,36.537,126.298
SO_0576,화봉리,34.661111,126.256944,530350,목포,34.7781,126.393
SO_0577,가거도,34.050833,125.128889,22297,가거도,34.0275,125.215
SO_0578,소매물도,34.621944,128.548056,22485,소매물도,34.6214,128.538
SO_0581,강양항,35.39,129.344722,22483,간절곶,35.3665,129.375
SO_0631,암태도,34.853056,126.071389,22183,신안,34.7333,126.242
SO_0699,천리포항,36.803889,126.146944,22520,강릉,37.7963,129.062
SO_0701,홍도항,34.681111,125.195,22298,홍도,34.7467,125.246
SO_0702,진도옥도,34.350833,126.018611,539800,진도,34.3777,126.309
SO_0703,땅끝항,34.298889,126.531111,33013,해남,34.3157,126.515
SO_0704,소안항,34.15,126.631944,537800,완도,34.3125,126.761
SO_0705,마량항,34.448889,126.821944,537800,완도,34.3125,126.761
SO_0706,청산도,34.180833,126.856111,22456,청산도,34.139,126.741
SO_0707,시산항,34.394444,127.261667,548893,고흥,34.4767,127.348
SO_0708,안도항,34.479722,127.797778,22466,금오도,34.5668,127.776
SO_0709,두문포,34.643611,127.7975,22466,금오도,34.5668,127.776
SO_0710,봉우항,34.932778,127.9275,550070,여수,34.7442,127.768
SO_0711,창선도,34.840556,128.019444,22498,남해,34.6965,127.992
SO_0712,능양항,34.812222,128.245,22498,남해,34.6965,127.992
SO_0731,대진항,38.501389,128.426167,217800,속초,38.2044,128.597
SO_0732,남애항,37.944222,128.788333,217800,속초,38.2044,128.597
SO_0733,강릉항,37.772278,128.951333,22520,강릉,37.7963,129.062
SO_0734,궁촌항,37.327806,129.270028,22479,맹방,37.4013,129.229
SO_0735,죽변항,37.054833,129.423917,22523,죽변,37.1028,129.459
SO_0736,축산항,36.509944,129.448139,33008,영덕,36.3387,129.383
SO_0737,강구항,36.358583,129.391306,33008,영덕,36.3387,129.383
SO_0738,여호항,34.661556,127.469556,550070,여수,34.7442,127.768
SO_0739,도장항,34.367306,127.011972,550070,여수,34.7442,127.768
SO_0740,보옥항,34.129,126.513556,33013,해남,34.3157,126.515
SO_0752,검산항,35,126.107778,530350,목포,34.7781,126.393
SO_0753,하의도웅곡,34.608333,126.038611,22183,신안,34.7333,126.242
SO_0754,평호리,34.448056,126.455,537800,완도,34.3125,126.761
SO_0755,원동항,34.393889,126.648611,537800,완도,34.3125,126.761
SO_0756,사초항,34.470278,126.761111,537800,완도,34.3125,126.761
SO_0757,안남리,34.730278,127.264444,548893,고흥,34.4767,127.348
SO_0758,달천도,34.761667,127.563056,548893,고흥,34.4767,127.348
SO_0759,장문리,34.873611,128.424167,545711,광양,34.9034,127.755
SO_0760,오산항,36.888889,129.416111,240130,동해항,37.495,129.144
SO_0761,녹동항,34.527028,127.134528,548893,고흥,34.4767,127.348
DT_0001,인천,37.451944,126.592222,22185,인천,37.0917,125.429
DT_0002,평택,36.966944,126.822778,451821,평택,36.9639,126.825
DT_0003,영광,35.426111,126.420556,22475,영광,35.4357,126.176
DT_0004,제주,33.5275,126.543056,690704,제주,33.5242,126.545
DT_0005,부산,35.096389,129.035278,158650,부산,35.0931,129.038
DT_0006,묵호,37.550278,129.116389,240050,묵호,37.5475,129.119
DT_0007,목포,34.779722,126.375556,530350,목포,34.7781,126.393
DT_0008,안산,37.192222,126.647222,445310,안산,37.1894,126.65
DT_0009,포항,36.047222,129.383889,22106,포항,36.35,129.783
DT_0010,서귀포,33.24,126.561667,22187,서귀포,33.1281,127.023
DT_0011,후포,36.6775,129.453056,767800,후포,36.6744,129.456
DT_0012,속초,38.207222,128.594167,217800,속초,38.2044,128.597
DT_0013,울릉도,37.491389,130.913611,21229,울릉도,37.4554,131.114
DT_0014,통영,34.827778,128.434722,22188,통영,34.3917,128.225
DT_0015,마산,35.21,128.588889,630651,마산,35.1969,128.58
DT_0016,여수,34.747222,127.765556,550070,여수,34.7442,127.768
DT_0017,대산,37.0075,126.352778,356870,대산,37.0047,126.354
DT_0018,군산,35.975556,126.563056,22474,군산,35.8878,126.425
DT_0019,가덕도,35.024167,128.810833,618440,가덕도,35.0217,128.813
DT_0020,울산,35.501944,129.387222,22189,울산,35.3453,129.841
DT_0021,추자도,33.961944,126.300278,680050,추자도,33.9586,126.302
DT_0022,성산포,33.474722,126.927778,699903,성산포,33.475,126.928
DT_0023,모슬포,33.214444,126.251111,699835,모슬포,33.2144,126.251
DT_0024,장항,36.006944,126.6875,325903,장항,36.0069,126.688
DT_0025,보령,36.406389,126.486111,355844,보령,36.4031,126.488
DT_0026,고흥발포,34.481111,127.342778,548893,고흥,34.4767,127.348
DT_0027,완도,34.315556,126.759722,537800,완도,34.3125,126.761
DT_0028,진도,34.377778,126.308611,539800,진도,34.3777,126.309
DT_0029,거제도,34.801389,128.699167,626800,거제도,34.7989,128.702
DT_0030,위도,35.618056,126.301667,22504,위도,35.6582,126.261
DT_0031,거문도,34.028333,127.308889,22103,거문도,34.0014,127.501
DT_0032,강화대교,37.731944,126.522222,417820,강화대교,37.7319,126.522
DT_0034,안흥,36.673611,126.132222,357945,안흥,36.67,126.135
DT_0035,흑산도,34.684167,125.435556,33010,흑산도,34.6509,125.393
DT_0036,대청도,37.825222,124.718056,23102,백령도,37.9556,124.736
DT_0037,어청도,36.117222,125.984722,573819,어청도,36.1169,125.985
DT_0038,굴업도,37.194444,125.995,573819,어청도,36.1169,125.985
DT_0039,왕돌초,36.719167,129.7325,132129,왕돌초,36.7167,129.735
DT_0040,독도,37.238889,131.867222,22441,독도,37.2373,131.87
DT_0041,복사초,34.098333,126.168333,545711,광양,34.9034,127.755
DT_0042,교본초,34.704722,128.306389,650940,교본초,34.7017,128.31
DT_0043,영흥도,37.238611,126.428611,409870,영흥도,37.2367,126.431
DT_0044,영종대교,37.545556,126.584444,404170,영종대교,37.5539,126.608
DT_0045,격렬비열도,36.624369,125.561964,22408,격렬비열도,36.6244,125.562
DT_0046,쌍정초,37.55616,130.9392,799801,울릉도,37.4933,130.914
DT_0047,도농탄,33.15806,126.2747,22476,가파도,33.1622,126.264
DT_0048,속초등표,38.19948,128.6131,217800,속초,38.2044,128.597
DT_0049,광양,34.90367,127.7548,545711,광양,34.9034,127.755
DT_0050,태안,36.91306,126.2389,357914,태안,36.9133,126.239
DT_0051,서천마량,36.12889,126.4953,325894,서천(마량),36.1286,126.496
DT_0052,인천송도,37.33806,126.5861,406800,인천(송도),37.3381,126.586
DT_0054,진해,35.14722,128.6431,645600,진해군항,35.1472,128.643
DT_0056,부산항신항,35.0775,128.7847,516090,부산신항,35.0744,128.787
DT_0057,동해항,37.49472,129.1439,240130,동해항,37.495,129.144
DT_0058,경인항,37.56083,126.6011,404170,영종대교,37.5539,126.608
DT_0059,백령도,37.95565,124.7361,23102,백령도,37.9556,124.736
DT_0060,연평도,37.65767,125.7144,23108,연평도,37.6577,125.714
DT_0061,삼천포,34.92417,128.0697,52565,삼천포,34.9241,128.07
DT_0062,마산,35.1975,128.5764,630651,마산,35.1969,128.58
DT_0063,가덕도,35.02418,128.8109,618440,가덕도,35.0217,128.813
DT_0064,교동대교,37.78961,126.3396,22303,풍도,37.1583,126.41
DT_0065,덕적도,37.22633,126.1566,22101,덕적도,37.2361,126.019
DT_0067,안흥,36.67464,126.1296,357945,안흥,36.67,126.135
DT_0068,위도,35.61808,126.3018,22504,위도,35.6582,126.261
DT_0091,포항,36.05178,129.3763,22106,포항,36.35,129.783
DT_0092,여호항,34.66194,127.4692,550070,여수,34.7442,127.768
DT_0093,소무의도,37.37307,126.4401,409870,영흥도,37.2367,126.431
DT_0094,서거차도,34.25142,125.9155,22481,맹골수도,34.2267,125.954
